STT,Biệt dược,SĐK,Hoạt chất,Chỉ định nguồn,Thuật ngữ gợi ý,Mã ICD-10,Tên ICD-10 chính thức,Cảnh báo mã
1,Acantan HTZ 8-12.5,VD-30299-18,Candesartan + hydroclorothiazid,Điều trị tăng huyết áp không kiểm soát đầy đủ bằng candesartan hoặc hydroclorothiazid đơn trị,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
2,Aciclovir 5%,VD-18434-13,Aciclovir,Herpes môi/sinh dục ngoài da do Herpes simplex ở giai đoạn sớm,Herpes simplex da/niêm mạc,B00.9,"Bệnh do nhiễm virus herpes [herpes simplex], không xác định",
2,Aciclovir 5%,VD-18434-13,Aciclovir,Herpes môi/sinh dục ngoài da do Herpes simplex ở giai đoạn sớm,Herpes simplex da/niêm mạc,A60.9,"Nhiễm virus herpes [herpes simplex] ở hậu môn - sinh dục, không xác định",
3,Aclasta 5mg,900110171700 (SĐK cũ: VN-21917-19),Acid zoledronic,Loãng xương sau mãn kinh/nam giới/nguy cơ do glucocorticoid và bệnh Paget xương,Loãng xương,M81.0,Loãng xương sau mãn kinh,Có mã 4/5 ký tự cụ thể hơn | Mã chỉ/chủ yếu ở nữ
3,Aclasta 5mg,900110171700 (SĐK cũ: VN-21917-19),Acid zoledronic,Loãng xương sau mãn kinh/nam giới/nguy cơ do glucocorticoid và bệnh Paget xương,Bệnh Paget xương,M88.9,"Bệnh Paget xương, không xác định",Có mã 4/5 ký tự cụ thể hơn
4,Actrapid,QLSP-1029-17,Insulin người hòa tan (regular human insulin),"Đái tháo đường typ 1, typ 2 cần insulin; tăng đường huyết cấp, DKA/HHS và kiểm soát đường huyết nội trú",Đái tháo đường typ 1,E10.9,"Bệnh đái tháo đường típ 1, không kèm biến chứng",
4,Actrapid,QLSP-1029-17,Insulin người hòa tan (regular human insulin),"Đái tháo đường typ 1, typ 2 cần insulin; tăng đường huyết cấp, DKA/HHS và kiểm soát đường huyết nội trú",Nhiễm toan ceton do đái tháo đường,E10.1,"Bệnh đái tháo đường típ 1, kèm nhiễm toan ceton",
4,Actrapid,QLSP-1029-17,Insulin người hòa tan (regular human insulin),"Đái tháo đường typ 1, typ 2 cần insulin; tăng đường huyết cấp, DKA/HHS và kiểm soát đường huyết nội trú",Nhiễm toan ceton do đái tháo đường,E11.1,"Bệnh đái tháo đường típ 2, kèm nhiễm toan ceton",
4,Actrapid,QLSP-1029-17,Insulin người hòa tan (regular human insulin),"Đái tháo đường typ 1, typ 2 cần insulin; tăng đường huyết cấp, DKA/HHS và kiểm soát đường huyết nội trú",Tăng áp lực thẩm thấu do đái tháo đường,E11.0,"Bệnh đái tháo đường típ 2, kèm hôn mê",
5,Acupan,VN-18589-15,Nefopam,"Giảm đau cấp và mạn mức độ vừa, đặc biệt đau sau phẫu thuật; không có tác dụng chống viêm",Đau,R52.9,"Đau, không xác định",
6,Acyclovir 3%,893110161724,Aciclovir,Viêm giác mạc do Herpes simplex,Herpes simplex da/niêm mạc,B00.9,"Bệnh do nhiễm virus herpes [herpes simplex], không xác định",
6,Acyclovir 3%,893110161724,Aciclovir,Viêm giác mạc do Herpes simplex,Herpes simplex da/niêm mạc,A60.9,"Nhiễm virus herpes [herpes simplex] ở hậu môn - sinh dục, không xác định",
